yard,yard_id,make,model,year,row,fingerprint,date_added
TWIN FALLS,1099,CHEVROLET,CAPTIVA SPORT,2014,54,d95346f69a6f784a6a979410ef9c051a752a0e35347c269ea7326fbfcc7a1b3e,2026-06-15
TWIN FALLS,1099,CHEVROLET,EQUINOX,2008,54,54c7d0437b1b9a8c0c7083cd35541afadff3163b5f598f081d49aecd120cd5c0,2026-06-15
TWIN FALLS,1099,CHEVROLET,TRAILBLAZER,2004,54,bfe0db465cc6c16d53c7169376e81fd712c6da95fe4e8f9b5da2b22b059abc25,2026-06-15
TWIN FALLS,1099,CHEVROLET,UPLANDER,2007,54,9407aecfe9e8952f31d0d4cd621ad39b611aa6db560c7b1540fa57ec60dddd72,2026-06-15
TWIN FALLS,1099,GMC,ACADIA,2010,54,a49bd33944711bd7b004a28b53b79f53f32b4d9e5dda9f74a776df2617ac22e5,2026-06-15
TWIN FALLS,1099,GMC,ACADIA,2012,54,1148f96c93ede824f38ee3ad4709b7168719e0812d826838c2c578766a7b7abe,2026-06-15
TWIN FALLS,1099,GMC,SAFARI,1987,54,0382954e155e616bc847e5ba287c6c4ddf2e716f5782b7c83f64230b73db541d,2026-06-15
TWIN FALLS,1099,GMC,TERRAIN,2014,54,9b5ff91135b7056ec5da4731f2110495698d78cf9a2ccb3bf2b700d5ab41635f,2026-06-15
TWIN FALLS,1099,GMC,TERRAIN,2015,54,a987361303e6b08066b13765d3848d6e2a876a40cb9d19937a80b6544c83e0af,2026-06-15
