yard,yard_id,make,model,year,row,fingerprint,date_added
BOISE,1020,CHEVROLET,CAVALIER,1996,78,e5be0069a34de6b808924d3042792ac39c6191f3a2a042767492611d17801b09,2026-06-21
CALDWELL,1021,FORD,ECONOLINE,2008,17,65587f506cb72c33951f2be14ab9df6037b1fc39bf8ce56df192d1b492f62200,2026-06-21
CALDWELL,1021,FORD,EXPEDITION,1998,17,bf46f57ba2eeb9ff4ec5e79ef296a538f17e6bbfe4c563fead089c8733a74238,2026-06-21
CALDWELL,1021,FORD,EXPLORER,1997,14,8e4c022406916c34e8e92ee294c7ca2982fcf438682d73bf5230d6763559f9f5,2026-06-21
CALDWELL,1021,FORD,EXPLORER,2007,17,14d8cd7e73759d7a39260621fa1bc8ffc0304bd5e706eb70d3b24c12867c54f8,2026-06-21
CALDWELL,1021,JEEP,GRAND CHEROKEE,1995,26,86147a1105bd1f672e40059e4ccb9e2660294b4c36674810b16ed5d877d6e1ee,2026-06-21
CALDWELL,1021,JEEP,GRAND CHEROKEE,1998,26,de39beefc5168e33d6de6fb1f46df9d209aa84913c8f52d2a316b6b8132e29d3,2026-06-21
CALDWELL,1021,SUBARU,LEGACY,2010,32,6a314c388f2290a6da20a3a0ed86d9d66122d03fec4f17331022554c465730e3,2026-06-21
CALDWELL,1021,VOLVO,XC90,2007,30,3c4e63065eb7d5677de75d6f8f847d7f02b23056065067e642e92ba81b0b34b3,2026-06-21
